owner,repo,filename,path
timelyportfolio,htmlwidgets_spin,NAMESPACE,NAMESPACE
behrica,soccerAnalyticsCore,NAMESPACE,NAMESPACE
austinclemens,nyloncalc,NAMESPACE,NAMESPACE
ramnathv,justGage,NAMESPACE,NAMESPACE
rluo,scio,NAMESPACE,NAMESPACE
vapniks,lm_macros,NAMESPACE,NAMESPACE
josephguillaume,cmd_aet,NAMESPACE,NAMESPACE
skranz,rampl,NAMESPACE,NAMESPACE
SerLongfellow,BehrensRJags,NAMESPACE,NAMESPACE
eriqande,inbredPermute,NAMESPACE,NAMESPACE
gilinson,hillmakeR,NAMESPACE,NAMESPACE
johnlaing,bs.opt,NAMESPACE,NAMESPACE
ELetier,moda,NAMESPACE,NAMESPACE
echi,sonclustr,NAMESPACE,NAMESPACE
AndrewRGibson,RLossIntegrals,NAMESPACE,NAMESPACE
rOpenGov,dkstat,NAMESPACE,NAMESPACE
Junfang,AKSmooth,NAMESPACE,NAMESPACE
datashield,dsStatsClient,NAMESPACE,NAMESPACE
datashield,dsGraphics,NAMESPACE,NAMESPACE
datashield,dsGraphicsClient,NAMESPACE,NAMESPACE
nassimhaddad,firstnamesbe,NAMESPACE,NAMESPACE
dtkaplan,DCF,NAMESPACE,NAMESPACE
mg14,mg14,NAMESPACE,NAMESPACE
collectivemedia,binr,NAMESPACE,NAMESPACE
holstius,CALINE3,NAMESPACE,NAMESPACE
ghuiber,syncR,NAMESPACE,NAMESPACE
normanJosephy,Rutkowski,NAMESPACE,NAMESPACE
taczge,bin,namespace,namespace
benmarwick,1989-excavation-report-Madjedbebe,NAMESPACE,NAMESPACE
s-u,rcgal,NAMESPACE,NAMESPACE
sjmgarnier,RmdTemplates,NAMESPACE,NAMESPACE
nielshanson,fastLSA-R,NAMESPACE,NAMESPACE
wegmann,RSecologyData,NAMESPACE,NAMESPACE
eriqande,subspawn,NAMESPACE,NAMESPACE
reuseThatCode,davidUtils,NAMESPACE,NAMESPACE
alohr,ezr,NAMESPACE,NAMESPACE
jwolfson,threeboost,NAMESPACE,NAMESPACE
ibl,vcf4r,NAMESPACE,NAMESPACE
tangelo-hub,romanescoTools,NAMESPACE,NAMESPACE
martinjamescox,nupoint,NAMESPACE,NAMESPACE
sjackman,uniqtag,NAMESPACE,NAMESPACE
ojessen,ojUtils,NAMESPACE,NAMESPACE
MarcoDVisser,zil,NAMESPACE,NAMESPACE
mengeln,algaeMetrics,NAMESPACE,NAMESPACE
reuseThatCode,rpackageTest,NAMESPACE,NAMESPACE
cdalzell,Lahman,NAMESPACE,NAMESPACE
Alveo,alveo-r,NAMESPACE,NAMESPACE
imanuelcostigan,aemo,NAMESPACE,NAMESPACE
R-Finance,quantstrat,NAMESPACE,NAMESPACE
R-Finance,MPO,NAMESPACE,NAMESPACE
R-Finance,PortfolioAttribution,NAMESPACE,NAMESPACE
R-Finance,Meucci,NAMESPACE,NAMESPACE
