owner,repo,filename,path,git_url
swihart,libstableR,NAMESPACE,NAMESPACE,https://api.github.com/repositories/98250093/git/blobs/b373aa763307a950245bc5c96010d6908fa8c408
jeffeaton,epp,NAMESPACE,NAMESPACE,https://api.github.com/repositories/37784008/git/blobs/ded2e5c1069a1f1f4d3b6b704b21f206ee4c66d0
spedygiorgio,markovchain,NAMESPACE,NAMESPACE,https://api.github.com/repositories/31481152/git/blobs/e698227b642c159759a381179fbb75435c66a4e6
RomanHornung,survmediation,NAMESPACE,NAMESPACE,https://api.github.com/repositories/95234712/git/blobs/1bb36f46c99b43b0bd9f9dd783db372767624cac
Spatial-R,EnvExpInd,NAMESPACE,NAMESPACE,https://api.github.com/repositories/90520549/git/blobs/26b4ed5b8122477fec47eab6a4c87873b363b075
CreRecombinase,FGEM,NAMESPACE,NAMESPACE,https://api.github.com/repositories/37341934/git/blobs/fbae5479de5fefba990c25beb790cf4cdbcce249
bplloyd,CoreHF,NAMESPACE,NAMESPACE,https://api.github.com/repositories/91740247/git/blobs/c7ebc203b68dd8637c08333d5015d2590a735706
SachaEpskamp,bootnet,NAMESPACE,NAMESPACE,https://api.github.com/repositories/30825303/git/blobs/d86222e2e6075216efbf427fd8a17e489fa6c4c4
harrelfe,Hmisc,NAMESPACE,NAMESPACE,https://api.github.com/repositories/14508481/git/blobs/4621019d13be62b79c3b74b023a1a007af9e31e8
simonpedrobolivar,coopbreed5,NAMESPACE,NAMESPACE,https://api.github.com/repositories/88726725/git/blobs/2495f1a7228809c38be5025ccf1e9d1dc2fb7d08
hb-slash,bioc-aroma.light-help,NAMESPACE,NAMESPACE,https://api.github.com/repositories/88314646/git/blobs/7c94bd7dc7fd97cd25d41512a37dc28d141d9dbe
ChenMengjie,DepthDescent,NAMESPACE,NAMESPACE,https://api.github.com/repositories/88088797/git/blobs/da236c94a79e6ea6a322b7ad507ad3e77a2bb3d1
eddelbuettel,rcppredis,NAMESPACE,NAMESPACE,https://api.github.com/repositories/11594064/git/blobs/d47230d7c528987faf778990606c94fedfd6d4dd
felasa,gui_tree,NAMESPACE,NAMESPACE,https://api.github.com/repositories/87579741/git/blobs/505c6abef4b92ff23b6896c2a2aa44d7ac1c9eef
giacomovagni,TimeUseR,NAMESPACE,NAMESPACE,https://api.github.com/repositories/87306387/git/blobs/1ebc94795101312f0a6aceffc45fd4b252caf253
mihawk2016,rAGMLab,NAMESPACE,NAMESPACE,https://api.github.com/repositories/85556816/git/blobs/d9ea1c78a71d393a9aab63eaed19701693827dc7
RebeccaSalles,TSPred,NAMESPACE,NAMESPACE,https://api.github.com/repositories/76110873/git/blobs/f359d0eb65a6030ce39c36abfbad03ea81b6cb22
amandaJayanetti,KalmanRcppDemo,NAMESPACE,NAMESPACE,https://api.github.com/repositories/84561934/git/blobs/7735aba3f8d29cc3e5a13f8f64f3eb70aaccddac
nealrichardson,acs,NAMESPACE,NAMESPACE,https://api.github.com/repositories/83246511/git/blobs/1cf66ad4dad3f35d293252b99038ef873c245cf2
alphonse,aeRo,NAMESPACE,NAMESPACE,https://api.github.com/repositories/83755372/git/blobs/51de6a62445a406674555bb44464d5f7283b563d
ClementCalenge,adehabitatLT,NAMESPACE,NAMESPACE,https://api.github.com/repositories/81651833/git/blobs/945cd91a3e83c799a5344b706acb235e1396f58b
armbrustlab,ssPopModel,NAMESPACE,NAMESPACE,https://api.github.com/repositories/11936638/git/blobs/0148afb992a237653318bbea833e58a878720ee3
assaforon,table1xls,NAMESPACE,NAMESPACE,https://api.github.com/repositories/13630776/git/blobs/658a1065049d1d1824f9e52e51b5b1ec12853c49
ewouddt,RcmdrPlugin.BiclustGUI,NAMESPACE,NAMESPACE,https://api.github.com/repositories/68704984/git/blobs/2cc53bb353704228ac2f49c1177935643d08ed1a
tsungwu,iClick,NAMESPACE,NAMESPACE,https://api.github.com/repositories/79019845/git/blobs/599318b8d12418ac4aa552d8bc23da89e0c35f74
jaredo,mhsmm,NAMESPACE,NAMESPACE,https://api.github.com/repositories/807260/git/blobs/d979020621a3f5b1b313b3b0ce472efccc30bb28
metaOmic,MetaQC,NAMESPACE,NAMESPACE,https://api.github.com/repositories/73858514/git/blobs/86ccb3c830f6f79f60923afbd5834536aba46dd7
hshdndx,new-to-CNV,NAMESPACE,NAMESPACE,https://api.github.com/repositories/76614237/git/blobs/70e8e99bf59ba50c2a491c55303a123177eec0e4
christie-nhs-data-science,gater,NAMESPACE,NAMESPACE,https://api.github.com/repositories/76357749/git/blobs/2828030344ecaf0a7effef1a4138a6e9596ec306
hsiujho,BacteriaIden,NAMESPACE,NAMESPACE,https://api.github.com/repositories/76225900/git/blobs/99dc3b29c57403e19a44539a0d0de79aca3fc960
AMUFacultyOfEnglish,ENRanalytics,NAMESPACE,NAMESPACE,https://api.github.com/repositories/70166755/git/blobs/cddbea5e0ae8c275ff65e20ee464f191eb72e589
anujkhare,iregnet,NAMESPACE,NAMESPACE,https://api.github.com/repositories/59438433/git/blobs/a12d1e86afd41299f92d8bbb98be577f68330d60
FNTD,R-package,NAMESPACE,NAMESPACE,https://api.github.com/repositories/42652906/git/blobs/e6aa1a439717fc22fda28a8e083edc16bf08bf3b
dashee87,jobbR,NAMESPACE,NAMESPACE,https://api.github.com/repositories/71830749/git/blobs/d92d52ae38d5e229f39a6a6cf9fa3e9b89444841
danaki,winflashr,NAMESPACE,NAMESPACE,https://api.github.com/repositories/71603702/git/blobs/3ffacbe1fe80a3e18bb23e431a2973fdeb70ad97
hskksk,write.libsvm,NAMESPACE,NAMESPACE,https://api.github.com/repositories/71248169/git/blobs/a7448991e8f71382e95af42f27abc753c8d86540
jinimp,zhbit7,NAMESPACE,NAMESPACE,https://api.github.com/repositories/70909817/git/blobs/e8e0dd74e4475f995241efd81ca540e4c562c397
pmb59,fCCAC,NAMESPACE,NAMESPACE,https://api.github.com/repositories/69733623/git/blobs/d2287e60ce84aada5f881297411db3ff94307495
hertlen,BDAepimodelnoerror,NAMESPACE,NAMESPACE,https://api.github.com/repositories/68134193/git/blobs/a4754e400ba66823d59f6dd082388c1b6543d100
apc-llc,MarkovChain-OpenACC,NAMESPACE,NAMESPACE,https://api.github.com/repositories/67565196/git/blobs/571aa676b422f0dc90be90bb57e8b36a931b24d0
jdyer1,recommenderlab.java,NAMESPACE,NAMESPACE,https://api.github.com/repositories/66877698/git/blobs/8867a275aab5a35144d70ce9a0ddc038870c59de
sn248,testRcppmodule,NAMESPACE,NAMESPACE,https://api.github.com/repositories/65691238/git/blobs/a8d076db87b4337866df3b6c5f44e388715e02ae
gyang274,route,NAMESPACE,NAMESPACE,https://api.github.com/repositories/65648339/git/blobs/4b3213b00b8c5c9848e2f295cc57b5a3afab6af7
gaow,mnmashr,NAMESPACE,NAMESPACE,https://api.github.com/repositories/65493338/git/blobs/29235978f515cc8067625149352979d80dbb0582
