repo,path,name
adamryczkowski/depwalker,NAMESPACE,NAMESPACE
ecos-umons/maintaineR,NAMESPACE,NAMESPACE
famuvie/multinomINLA,NAMESPACE,NAMESPACE
luiscape/cpser,NAMESPACE,NAMESPACE
HenrikBengtsson/R.basic,NAMESPACE,NAMESPACE
nikamir/agiCGH,NAMESPACE,NAMESPACE
R-Finance/PApages,NAMESPACE,NAMESPACE
uribo/Japan.useR,NAMESPACE,NAMESPACE
charliebone/shopifyr,NAMESPACE,NAMESPACE
ajdm/travisreleasetest,NAMESPACE,NAMESPACE
adammartin/.emacs.d,elpa/yasnippet-0.10.0/snippets/c++-mode/namespace,namespace
adammartin/.emacs.d,elpa/yasnippet-0.10.0/snippets/csharp-mode/namespace,namespace
zoevanhavre/Zmix_devVersion2,NAMESPACE,NAMESPACE
rappster/conditionr,NAMESPACE,NAMESPACE
AlexBaranosky/EmacsV2,elpa/yasnippet-0.8.0/snippets/csharp-mode/namespace,namespace
plantarum/binner,NAMESPACE,NAMESPACE
jayjacobs/farsight,NAMESPACE,NAMESPACE
xiasiliang-hit/emacs,emacs.install/yasnippet-0.6.1c/snippets/text-mode/cc-mode/csharp-mode/namespace,namespace
OpenFisheries/ropenfisheries,NAMESPACE,NAMESPACE
homerhanumat/Rdym2,NAMESPACE,NAMESPACE
MariaFdez/hclass,NAMESPACE,NAMESPACE
pbiecek/PogromcyDanych,NAMESPACE,NAMESPACE
gaborcsardi/macBriain,NAMESPACE,NAMESPACE
ryosuzuki/.emacs.d,elpa/ess-20150202.1034/etc/pkg1/NAMESPACE,NAMESPACE
qiwei-li/biham-middleton-levine-traffic-model,BML/NAMESPACE,NAMESPACE
rickyHong/sparkR-dist,pkg/NAMESPACE,NAMESPACE
s-u/RSclient,NAMESPACE,NAMESPACE
aidanoneill/final5,NAMESPACE,NAMESPACE
MarieEtienne/longlineanalysis,longline/NAMESPACE,NAMESPACE
lbartnik/mock,NAMESPACE,NAMESPACE
