repo,path,name
BrnCPrz/PedyR,NAMESPACE,NAMESPACE
lutsik/MeDeCom,NAMESPACE,NAMESPACE
lpfgarcia/uci,NAMESPACE,NAMESPACE
phewson/PhilsAngle,NAMESPACE,NAMESPACE
curso-r/ragmatic,NAMESPACE,NAMESPACE
lgastako/dotfiles,emacs/emacs.d/elpa/yasnippet-0.9.1/snippets/c++-mode/namespace,namespace
lgastako/dotfiles,emacs/emacs.d/elpa/yasnippet-0.9.1/snippets/csharp-mode/namespace,namespace
ScalaR/ScalaR,packages/DependentPackage/NAMESPACE,NAMESPACE
ScalaR/ScalaR,packages/TestPackage/NAMESPACE,NAMESPACE
hadley/productplots,NAMESPACE,NAMESPACE
steakhouserodriguez/dotfiles,emacs.d/plugins/yasnippet/snippets/csharp-mode/namespace,namespace
steakhouserodriguez/dotfiles,emacs.d/snippets/csharp-mode/namespace,namespace
ivanhanigan/HutchinsonDroughtIndex,NAMESPACE,NAMESPACE
omegahat/RGCCTranslationUnit,NAMESPACE,NAMESPACE
mjsteger/dotemacs,site-lisp/snippets/csharp-mode/namespace,namespace
dayixuan/hwrevision,my1rpack.Rcheck/00_pkg_src/my1rpack/NAMESPACE,NAMESPACE
dayixuan/hwrevision,my1rpack.Rcheck/my1rpack/NAMESPACE,NAMESPACE
dayixuan/hwrevision,my1rpack/NAMESPACE,NAMESPACE
wata/dotfiles,.emacs.d/elpa/yasnippet-20130112.1823/snippets/csharp-mode/namespace,namespace
dtenenba/RGalaxy_refactor,NAMESPACE,NAMESPACE
dtenenba/RGalaxy_refactor,inst/samplePkg/NAMESPACE,NAMESPACE
mrdwab/StataDCTutils,NAMESPACE,NAMESPACE
mrdwab/AMsnippets,NAMESPACE,NAMESPACE
yd23/biomvRCNS,NAMESPACE,NAMESPACE
hcorrada/GenomicIntervalTree,pkg/NAMESPACE,NAMESPACE
chnmessi/emacs-linux,snippets/csharp-mode/namespace,namespace
chnmessi/emacs-linux,snippets/ruby-mode/ruby/definitions/rake/namespace,namespace
iacobus42/pareto,pareto/NAMESPACE,NAMESPACE
mikulely/emacs.d,snippets/c++-mode/namespace,namespace
oscarperpinan/solar,NAMESPACE,NAMESPACE
