repo,path,name
solita/magritte,job-dsl-centos/.description,.description
solita/magritte,job-dsl-ubuntu/.description,.description
leeper/rio.hdf,DESCRIPTION,DESCRIPTION
yesobo/yesoboAtomPortable,Data/atom/packages/merge-conflicts/spec/fixtures/irebasing.git/description,description
yesobo/yesoboAtomPortable,Data/atom/packages/merge-conflicts/spec/fixtures/merging.git/description,description
yesobo/yesoboAtomPortable,Data/atom/packages/merge-conflicts/spec/fixtures/rebasing.git/description,description
ClairBee/CB.Misc,DESCRIPTION,DESCRIPTION
sfr/RStudio-Addin-Snippets,DESCRIPTION,DESCRIPTION
jnobuyuki/WHUMSurveyDataAnalysis,WHUMSurveyDataAnalysis/DESCRIPTION,DESCRIPTION
NIWAFisheriesModelling/OrangeMan,R-libraries/OrangeMan/DESCRIPTION,DESCRIPTION
RhoInc/aeplot,DESCRIPTION,DESCRIPTION
rladeira/stacking,DESCRIPTION,DESCRIPTION
outcomesinsights/jigsaw_r,DESCRIPTION,DESCRIPTION
keboola/luckyguess-bundle,Resources/RScripts/keboola.lg.anomaly.vec/DESCRIPTION,DESCRIPTION
keboola/luckyguess-bundle,Resources/RScripts/keboola.lg.influence/DESCRIPTION,DESCRIPTION
keboola/luckyguess-bundle,Resources/RScripts/keboola.lg.probability.peaks/DESCRIPTION,DESCRIPTION
keboola/luckyguess-bundle,Resources/RScripts/keboola.lg.short.term.prediction/DESCRIPTION,DESCRIPTION
keboola/luckyguess-bundle,Resources/RScripts/keboola.lg.skewness/DESCRIPTION,DESCRIPTION
keboola/luckyguess-bundle,Resources/RScripts/template/DESCRIPTION,DESCRIPTION
carolinecolijn/treetop,DESCRIPTION,DESCRIPTION
jermainecraig/Retainly,node_modules/ember-cli/node_modules/git-repo-info/tests/fixtures/tagged-annotated/dot-git/description,description
jermainecraig/Retainly,node_modules/ember-cli/node_modules/git-repo-info/tests/fixtures/tagged-commit-unpacked/dot-git/description,description
jermainecraig/Retainly,node_modules/ember-cli-app-version/node_modules/git-repo-version/node_modules/git-repo-info/tests/fixtures/tagged-annotated/dot-git/description,description
jermainecraig/Retainly,node_modules/ember-cli-app-version/node_modules/git-repo-version/node_modules/git-repo-info/tests/fixtures/tagged-commit-unpacked/dot-git/description,description
kleinschmidt/r-packages,example/DESCRIPTION,DESCRIPTION
xizhiming/C3_test,DESCRIPTION,DESCRIPTION
rBatt/facebook5,DESCRIPTION,DESCRIPTION
analytics-ufcg/bestBus,DESCRIPTION,DESCRIPTION
cbw1243/test,DESCRIPTION,DESCRIPTION
Chaitralib/Sample-Project,description,description
