repo,path,name
radlantest/tutorial,lib/ezc/AuthenticationDatabaseTiein/DESCRIPTION,DESCRIPTION
radlantest/tutorial,lib/ezc/Base/DESCRIPTION,DESCRIPTION
radlantest/tutorial,lib/ezc/Cache/DESCRIPTION,DESCRIPTION
radlantest/tutorial,lib/ezc/Debug/DESCRIPTION,DESCRIPTION
radlantest/tutorial,lib/ezc/Document/DESCRIPTION,DESCRIPTION
carlmart/MyStats,DESCRIPTION,DESCRIPTION
richiemorrisroe/stockfighterr,DESCRIPTION,DESCRIPTION
melchiah/AWDoc,bower_components/.bower-git/description,description
dtenenba/spbtest,DESCRIPTION,DESCRIPTION
AbhinavYedla/DataScrapingPrograms,com.data.science/DESCRIPTION,DESCRIPTION
advcloud/data,case/Ptt/RPTT/DESCRIPTION,DESCRIPTION
advcloud/data,case/Seven/RCrawlerTW711/DESCRIPTION,DESCRIPTION
CoreyVincent/HydraWeb,vendor/bundle/ruby/2.2.0/cache/bundler/git/rbenv-7da251743394c0befacc960380d16496b29dc96e/description,description
Deesub/CS-354-projects,xinu-fall2015lab3/DESCRIPTION,DESCRIPTION
Deesub/CS-354-projects,xinu-fall2015lab4/DESCRIPTION,DESCRIPTION
Deesub/CS-354-projects,xinu-fall2015lab5/DESCRIPTION,DESCRIPTION
Deesub/CS-354-projects,xinu-fall2015oldlabs/DESCRIPTION,DESCRIPTION
Deesub/CS-354-projects,xinu-oldlabs/xinu-fall2015/DESCRIPTION,DESCRIPTION
garyc242/Bare-Bones-Arduino,DESCRIPTION,DESCRIPTION
TheComma/MindFind,MindFind_V1/description,description
hyginn/MSAtools,DESCRIPTION,DESCRIPTION
wziel/pl.edu.pw.elka.alhe16l.satelita,DESCRIPTION,DESCRIPTION
lgallindo/tgnn,DESCRIPTION,DESCRIPTION
nitramdemente/diplomado_polymer,app_polymer/bower_components/.bower-git/description,description
stillmatic/catcher,DESCRIPTION,DESCRIPTION
ronin13/Zsh,Completion/Base/Core/_description,_description
reidjf/mirnaAnnotationTools,databases/mirbase/MIRBASE.DB/DESCRIPTION,DESCRIPTION
reidjf/mirnaAnnotationTools,databases/targetscan.Hs.eg/TARGETSCAN.HS.EG.DB/DESCRIPTION,DESCRIPTION
reidjf/mirnaAnnotationTools,databases/targetscan.Mm.eg/TARGETSCAN.MM.EG.DB/DESCRIPTION,DESCRIPTION
simcop2387/Farnsworth,subprojs/oldfrink/chroot/samples/description,description
